DB00817,CHEMBL291157
DB00220,CHEMBL584
DB08979,CHEMBL576127
DB00735,CHEMBL626
DB00627,CHEMBL573
DB00490,CHEMBL49
DB01430,CHEMBL1183717
DB00871,CHEMBL1760
DB00285,CHEMBL637
DB00556,CHEMBL1663
DB05389,CHEMBL3707387
DB00427,CHEMBL855
DB01400,CHEMBL278020
DB00691,CHEMBL1165
DB00667,CHEMBL90
DB00906,CHEMBL1027
DB00245,CHEMBL1201203
DB00597,CHEMBL1200593
DB00480,CHEMBL848
DB04840,CHEMBL169901
DB00356,CHEMBL1371
DB00179,CHEMBL313972
DB01135,CHEMBL1237123
DB00503,CHEMBL163
DB01288,CHEMBL32800
DB00215,CHEMBL549
DB00723,CHEMBL524
DB08971,CHEMBL251634
DB00535,CHEMBL927
DB01340,CHEMBL515606
DB00832,CHEMBL797
DB00990,CHEMBL1200374
DB01194,CHEMBL220491
DB00132,CHEMBL8739
DB00281,CHEMBL79
DB01255,CHEMBL1201222
DB01008,CHEMBL820
DB00998,CHEMBL1279
DB01410,CHEMBL2040682
DB00737,CHEMBL1623
DB00470,CHEMBL465
DB00828,CHEMBL1757
DB01550,CHEMBL2105566
DB01205,CHEMBL407
DB00256,CHEMBL2103929
DB01418,CHEMBL397420
DB00887,CHEMBL1072
DB01244,CHEMBL1008
DB00762,CHEMBL481
DB01489,CHEMBL1095282
DB00540,CHEMBL445
DB00499,CHEMBL806
DB01074,CHEMBL75880
DB00563,CHEMBL34259
DB01082,CHEMBL372795
DB00396,CHEMBL103
DB00312,CHEMBL448
DB00223,CHEMBL1201380
DB00348,CHEMBL1337
DB00784,CHEMBL686
DB00514,CHEMBL1908323
DB01041,CHEMBL468
DB00525,CHEMBL83668
DB01600,CHEMBL365795
DB00169,CHEMBL1042
DB00227,CHEMBL503
DB00193,CHEMBL1066
DB00583,CHEMBL1149
DB00222,CHEMBL149223
DB03166,CHEMBL539
DB00587,CHEMBL283754
DB06729,CHEMBL1109
DB00720,CHEMBL12318
DB01586,CHEMBL1551
DB00249,CHEMBL788
DB09015,CHEMBL1616951
DB00477,CHEMBL71
DB01042,CHEMBL852
DB04552,CHEMBL63323
DB01069,CHEMBL643
DB01605,CHEMBL1650818
DB00437,CHEMBL1467
DB05260,CHEMBL1200983
DB08820,CHEMBL2010601
DB00145,CHEMBL773
DB00710,CHEMBL997
DB08881,CHEMBL1229517
DB01580,CHEMBL546
DB08907,CHEMBL2048484
DB08810,CHEMBL2104523
DB00650,CHEMBL1908841
DB01265,CHEMBL374731
DB02187,CHEMBL323533
DB00978,CHEMBL561
DB00669,CHEMBL128
DB00607,CHEMBL1443
DB01298,CHEMBL1201056
DB05265,CHEMBL2104585
DB00138,CHEMBL590540
DB00136,CHEMBL846
DB01576,CHEMBL612
DB00674,CHEMBL659
DB00908,CHEMBL1294
DB00423,CHEMBL1201117
DB00675,CHEMBL83
DB01408,CHEMBL521589
DB01028,CHEMBL1341
DB00524,CHEMBL878
DB01589,CHEMBL1200472
DB01055,CHEMBL245416
DB08890,CHEMBL3301675
DB00778,CHEMBL1214185
DB00494,CHEMBL953
DB01129,CHEMBL1219
DB00320,CHEMBL1732
DB00786,CHEMBL279785
DB01626,CHEMBL673
DB00685,CHEMBL428
DB01243,CHEMBL1200596
DB00806,CHEMBL628
DB00837,CHEMBL287631
DB01273,CHEMBL1396
DB00399,CHEMBL924
DB00339,CHEMBL614
DB00429,CHEMBL1237105
DB00459,CHEMBL1131
DB01263,CHEMBL221872
DB00478,CHEMBL959
DB00314,CHEMBL2303634
DB00773,CHEMBL44657
DB01283,CHEMBL404108
DB00408,CHEMBL831
DB00839,CHEMBL817
DB00388,CHEMBL1215
DB01174,CHEMBL40
DB01545,CHEMBL1213460
DB06684,CHEMBL439849
DB01336,CHEMBL1259
DB00823,CHEMBL1200624
DB00673,CHEMBL1471
DB01054,CHEMBL475534
DB00387,CHEMBL86715
DB00759,CHEMBL1440
DB01215,CHEMBL285674
DB00162,CHEMBL986
DB00992,CHEMBL1096562
DB08995,CHEMBL231884
DB01415,CHEMBL1605
DB00404,CHEMBL661
DB00389,CHEMBL508102
DB00550,CHEMBL1518
DB01275,CHEMBL276832
DB00912,CHEMBL1272
DB00353,CHEMBL1201356
DB00847,CHEMBL602
DB04877,CHEMBL445022
DB00663,CHEMBL1200877
DB01239,CHEMBL90125
DB01118,CHEMBL633
DB06148,CHEMBL6437
DB01420,CHEMBL1170
DB01296,CHEMBL493287
DB06768,CHEMBL1200747
DB00116,CHEMBL2021342
DB00395,CHEMBL1233
DB00800,CHEMBL588
DB08992,CHEMBL1902981
DB08801,CHEMBL22108
DB01159,CHEMBL931
DB08993,CHEMBL2146142
DB08824,CHEMBL2110569
DB01615,CHEMBL2104054
DB00704,CHEMBL19019
DB00299,CHEMBL1540
DB06809,CHEMBL18442
DB06402,CHEMBL3301680
DB01250,CHEMBL425
DB09003,CHEMBL2104103
DB00810,CHEMBL1101
DB01339,CHEMBL1201219
DB00234,CHEMBL180101
DB06771,CHEMBL1201760
DB01108,CHEMBL1200907
DB00746,CHEMBL556
DB00899,CHEMBL1005
DB01598,CHEMBL148
DB06698,CHEMBL24441
DB06663,CHEMBL3349607
DB01623,CHEMBL1201
DB00195,CHEMBL423
DB00117,CHEMBL17962
DB01015,CHEMBL443
DB06705,CHEMBL1908362
DB05294,CHEMBL24828
DB00185,CHEMBL168815
DB01618,CHEMBL460
DB00943,CHEMBL853
DB00697,CHEMBL1079
DB00125,CHEMBL1485
DB00288,CHEMBL1200732
DB08897,CHEMBL1194325
DB00739,CHEMBL1201116
DB01157,CHEMBL119
DB00582,CHEMBL638
DB01324,CHEMBL1587
DB01117,CHEMBL1450
DB00593,CHEMBL696
DB00488,CHEMBL1455
DB01120,CHEMBL427216
DB00196,CHEMBL106
DB01328,CHEMBL1601
DB08889,CHEMBL451887
DB01131,CHEMBL1377
DB00921,CHEMBL560511
DB00982,CHEMBL547
DB01153,CHEMBL1201196
DB01245,CHEMBL1190
DB01327,CHEMBL1435
DB00654,CHEMBL1051
DB00591,CHEMBL989
DB01380,CHEMBL1650
DB01191,CHEMBL248702
DB00831,CHEMBL422
DB00758,CHEMBL1771
DB08800,CHEMBL1194287
DB01210,CHEMBL1201237
DB00247,CHEMBL1065
DB00924,CHEMBL669
DB06711,CHEMBL761
DB00866,CHEMBL266195
DB00558,CHEMBL222813
DB00515,CHEMBL2068237
DB04896,CHEMBL252923
DB00444,CHEMBL452231
DB00974,CHEMBL858
DB01083,CHEMBL175247
DB08983,CHEMBL358150
DB06766,CHEMBL1201747
DB01085,CHEMBL550
DB08828,CHEMBL473417
DB01172,CHEMBL1384
DB00796,CHEMBL1016
DB01452,CHEMBL459324
DB00988,CHEMBL59
DB00932,CHEMBL222559
DB01628,CHEMBL416146
DB00717,CHEMBL1162
DB01110,CHEMBL91
DB01112,CHEMBL1436
DB00971,CHEMBL1200680
DB08941,CHEMBL1197051
DB01087,CHEMBL506
DB00542,CHEMBL838
DB06155,CHEMBL111
DB00237,CHEMBL449
DB05630,CHEMBL2079699
DB00969,CHEMBL1110
DB06335,CHEMBL385517
DB00865,CHEMBL3545985
DB01073,CHEMBL1096882
DB00750,CHEMBL1194
DB00534,CHEMBL2110562
DB01299,CHEMBL1539
DB01007,CHEMBL1200438
DB00014,CHEMBL1201247
DB06700,CHEMBL1118
DB00401,CHEMBL1726
DB00668,CHEMBL679
DB01103,CHEMBL7568
DB00153,CHEMBL1536
DB00561,CHEMBL1754
DB01096,CHEMBL847
DB01319,CHEMBL1664
DB00562,CHEMBL1201039
DB01004,CHEMBL182
DB01077,CHEMBL871
